HGNC ID	Approved Symbol	Approved Name	UniProt ID(supplied by UniProt)
HGNC:24711	MFSD6	major facilitator superfamily domain containing 6	Q6ZSS7
HGNC:26656	MFSD6L	major facilitator superfamily domain containing 6 like	Q8IWD5
HGNC:26177	MFSD7	major facilitator superfamily domain containing 7	Q6UXD7
HGNC:28486	MFSD8	major facilitator superfamily domain containing 8	Q8NHS3
HGNC:28158	MFSD9	major facilitator superfamily domain containing 9	Q8NBP5
HGNC:16894	MFSD10	major facilitator superfamily domain containing 10	Q14728
HGNC:25458	MFSD11	major facilitator superfamily domain containing 11	O43934
HGNC:28299	MFSD12	major facilitator superfamily domain containing 12	Q6NUT3
HGNC:26196	MFSD13A	major facilitator superfamily domain containing 13A	Q14CX5
HGNC:52163	MFSD13B	major facilitator superfamily domain containing 13B	
HGNC:23363	MFSD14A	major facilitator superfamily domain containing 14A	Q96MC6
HGNC:23376	MFSD14B	major facilitator superfamily domain containing 14B	Q5SR56
HGNC:23672	MFSD14C	major facilitator superfamily domain containing 14C	Q5VZR4
HGNC:14010	MGA	MGA, MAX dimerization protein	Q8IWI9
HGNC:7043	MGAM	maltase-glucoamylase	O43451
HGNC:28101	MGAM2	maltase-glucoamylase 2 (putative)	Q2M2H8
HGNC:29969	MGARP	mitochondria localized glutamic acid rich protein	Q8TDB4
HGNC:7044	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	P26572
HGNC:7045	MGAT2	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	Q10469
HGNC:51244	MGAT2P1	MGAT2 pseudogene 1	
HGNC:51243	MGAT2P2	MGAT2 pseudogene 2	
HGNC:7046	MGAT3	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	Q09327
HGNC:51356	MGAT3-AS1	MGAT3 antisense RNA 1	
HGNC:7047	MGAT4A	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	Q9UM21
HGNC:7048	MGAT4B	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B	Q9UQ53
HGNC:30871	MGAT4C	MGAT4 family member C	Q9UBM8
HGNC:43619	MGAT4D	MGAT4 family member D	A6NG13
HGNC:49418	MGAT4EP	MGAT4 family member E, pseudogene	
HGNC:7049	MGAT5	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase	Q09328
HGNC:24140	MGAT5B	mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B	Q3V5L5
HGNC:7056	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	O60502
HGNC:17038	MGLL	monoglyceride lipase	Q99685
HGNC:16205	MGME1	mitochondrial genome maintenance exonuclease 1	Q9BQP7
HGNC:7059	MGMT	O-6-methylguanine-DNA methyltransferase	P16455
HGNC:7060	MGP	matrix Gla protein	P08493
HGNC:20254	MGRN1	mahogunin ring finger 1	O60291
HGNC:7061	MGST1	microsomal glutathione S-transferase 1	P10620
HGNC:7063	MGST2	microsomal glutathione S-transferase 2	Q99735
HGNC:7064	MGST3	microsomal glutathione S-transferase 3	O14880
HGNC:7065	MHAC	microhydranencephaly	
HGNC:51291	MHRT	myosin heavy chain-associated RNA transcript	
HGNC:7071	MHS2	malignant hyperthermia susceptibility 2	
HGNC:7073	MHS4	malignant hyperthermia susceptibility 4	
HGNC:7075	MHS6	malignant hyperthermia susceptibility 6	
HGNC:7076	MIA	melanoma inhibitory activity	Q16674
HGNC:48352	MIA-RAB4B	MIA-RAB4B readthrough (NMD candidate)	
HGNC:18432	MIA2	melanoma inhibitory activity 2	Q96PC5
HGNC:24008	MIA3	melanoma inhibitory activity family member 3	Q5JRA6
HGNC:33425	MIAT	myocardial infarction associated transcript (non-protein coding)	
HGNC:50731	MIATNB	MIAT neighbor (non-protein coding)	
HGNC:21086	MIB1	mindbomb E3 ubiquitin protein ligase 1	Q86YT6
HGNC:30577	MIB2	mindbomb E3 ubiquitin protein ligase 2	Q96AX9
HGNC:7088	MIC7	antigen identified by monoclonal antibody 28.3.7	
HGNC:7079	MIC12	antigen identified by monoclonal antibody 30.2A8	
HGNC:7090	MICA	MHC class I polypeptide-related sequence A	Q29983
HGNC:20619	MICAL1	microtubule associated monooxygenase, calponin and LIM domain containing 1	Q8TDZ2
HGNC:24693	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2	O94851
HGNC:24694	MICAL3	microtubule associated monooxygenase, calponin and LIM domain containing 3	Q7RTP6
HGNC:25933	MICALCL	MICAL C-terminal like	Q6ZW33
HGNC:29804	MICALL1	MICAL like 1	Q8N3F8
HGNC:29672	MICALL2	MICAL like 2	Q8IY33
HGNC:7091	MICB	MHC class I polypeptide-related sequence B	Q29980
HGNC:7092	MICC	MHC class I polypeptide-related sequence C (pseudogene)	
HGNC:7093	MICD	MHC class I polypeptide-related sequence D (pseudogene)	
HGNC:7094	MICE	MHC class I polypeptide-related sequence E (pseudogene)	
HGNC:16801	MICF	MHC class I polypeptide-related sequence F (pseudogene)	
HGNC:16802	MICG	MHC class I polypeptide-related sequence G (pseudogene)	
HGNC:1530	MICU1	mitochondrial calcium uptake 1	Q9BPX6
HGNC:31830	MICU2	mitochondrial calcium uptake 2	Q8IYU8
HGNC:27820	MICU3	mitochondrial calcium uptake family member 3	Q86XE3
HGNC:7095	MID1	midline 1	O15344
HGNC:20715	MID1IP1	MID1 interacting protein 1	Q9NPA3
HGNC:40932	MID1IP1-AS1	MID1IP1 antisense RNA 1	
HGNC:7096	MID2	midline 2	Q9UJV3
HGNC:16298	MIDN	midnolin	Q504T8
HGNC:25979	MIEF1	mitochondrial elongation factor 1	Q9NQG6
HGNC:17920	MIEF2	mitochondrial elongation factor 2	Q96C03
HGNC:28230	MIEN1	migration and invasion enhancer 1	Q9BRT3
HGNC:29657	MIER1	MIER1 transcriptional regulator	Q8N108
HGNC:29210	MIER2	MIER family member 2	Q8N344
HGNC:26678	MIER3	MIER family member 3	Q7Z3K6
HGNC:7097	MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	P14174
HGNC:27669	MIF-AS1	MIF antisense RNA 1	
HGNC:24030	MIF4GD	MIF4G domain containing	A9UHW6
HGNC:25715	MIIP	migration and invasion inhibitory protein	Q5JXC2
HGNC:27570	MILR1	mast cell immunoglobulin like receptor 1	Q7Z6M3
HGNC:33464	MIMT1	MER1 repeat containing imprinted transcript 1 (non-protein coding)	
HGNC:19441	MINA	MYC induced nuclear antigen	Q8IUF8
HGNC:51653	MINCR	MYC-induced long noncoding RNA	
HGNC:17565	MINK1	misshapen like kinase 1	Q8N4C8
HGNC:32068	MINOS1	mitochondrial inner membrane organizing system 1	Q5TGZ0
HGNC:48338	MINOS1-NBL1	MINOS1-NBL1 readthrough	
HGNC:25036	MINOS1P1	mitochondrial inner membrane organizing system 1 pseudogene 1	
HGNC:44092	MINOS1P2	mitochondrial inner membrane organizing system 1 pseudogene 2	
HGNC:44093	MINOS1P3	mitochondrial inner membrane organizing system 1 pseudogene 3	
HGNC:44094	MINOS1P4	mitochondrial inner membrane organizing system 1 pseudogene 4	
HGNC:7102	MINPP1	multiple inositol-polyphosphate phosphatase 1	Q9UNW1
HGNC:21905	MIOS	missing oocyte meiosis regulator homolog	Q9NXC5
HGNC:14522	MIOX	myo-inositol oxygenase	Q9UGB7
HGNC:50748	MIOXP1	myo-inositol oxygenase pseudogene 1	
HGNC:7103	MIP	major intrinsic protein of lens fiber	P30301
HGNC:7104	MIPEP	mitochondrial intermediate peptidase	Q99797
HGNC:39456	MIPEPP1	mitochondrial intermediate peptidase pseudogene 1	
HGNC:39457	MIPEPP2	mitochondrial intermediate peptidase pseudogene 2	
HGNC:39458	MIPEPP3	mitochondrial intermediate peptidase pseudogene 3	
HGNC:21460	MIPOL1	mirror-image polydactyly 1	Q8TD10
HGNC:31499	MIR1-1	microRNA 1-1	
HGNC:16159	MIR1-1HG	MIR1-1 host gene	Q9H1L0
HGNC:31500	MIR1-2	microRNA 1-2	
HGNC:31638	MIR7-1	microRNA 7-1	
HGNC:31639	MIR7-2	microRNA 7-2	
HGNC:31640	MIR7-3	microRNA 7-3	
HGNC:30049	MIR7-3HG	MIR7-3 host gene	Q8N6C7
HGNC:31641	MIR9-1	microRNA 9-1	
HGNC:31642	MIR9-2	microRNA 9-2	
HGNC:31646	MIR9-3	microRNA 9-3	
HGNC:27388	MIR9-3HG	MIR9-3 host gene	
HGNC:31497	MIR10A	microRNA 10a	
HGNC:31498	MIR10B	microRNA 10b	
HGNC:31543	MIR15A	microRNA 15a	
HGNC:31544	MIR15B	microRNA 15b	
HGNC:31545	MIR16-1	microRNA 16-1	
HGNC:31546	MIR16-2	microRNA 16-2	
HGNC:31547	MIR17	microRNA 17	
HGNC:23564	MIR17HG	miR-17-92a-1 cluster host gene	Q75NE6
HGNC:31548	MIR18A	microRNA 18a	
HGNC:32025	MIR18B	microRNA 18b	
HGNC:31574	MIR19A	microRNA 19a	
HGNC:31575	MIR19B1	microRNA 19b-1	
HGNC:31576	MIR19B2	microRNA 19b-2	
HGNC:31577	MIR20A	microRNA 20a	
HGNC:32024	MIR20B	microRNA 20b	
HGNC:31586	MIR21	microRNA 21	
HGNC:31599	MIR22	microRNA 22	
HGNC:28219	MIR22HG	MIR22 host gene	Q0VDD5
HGNC:31605	MIR23A	microRNA 23a	
HGNC:31606	MIR23B	microRNA 23b	
HGNC:38913	MIR23C	microRNA 23c	
HGNC:31607	MIR24-1	microRNA 24-1	
HGNC:31608	MIR24-2	microRNA 24-2	
HGNC:31609	MIR25	microRNA 25	
HGNC:31610	MIR26A1	microRNA 26a-1	
HGNC:31611	MIR26A2	microRNA 26a-2	
HGNC:31612	MIR26B	microRNA 26b	
HGNC:31613	MIR27A	microRNA 27a	
HGNC:31614	MIR27B	microRNA 27b	
HGNC:31615	MIR28	microRNA 28	
HGNC:31616	MIR29A	microRNA 29a	
HGNC:31619	MIR29B1	microRNA 29b-1	
HGNC:31620	MIR29B2	microRNA 29b-2	
HGNC:31621	MIR29C	microRNA 29c	
HGNC:31624	MIR30A	microRNA 30a	
HGNC:31625	MIR30B	microRNA 30b	
HGNC:31626	MIR30C1	microRNA 30c-1	
HGNC:31627	MIR30C2	microRNA 30c-2	
HGNC:31628	MIR30D	microRNA 30d	
HGNC:31629	MIR30E	microRNA 30e	
HGNC:31630	MIR31	microRNA 31	
HGNC:37187	MIR31HG	MIR31 host gene	
HGNC:31631	MIR32	microRNA 32	
HGNC:31634	MIR33A	microRNA 33a	
HGNC:32791	MIR33B	microRNA 33b	
HGNC:31635	MIR34A	microRNA 34a	
HGNC:51913	MIR34AHG	MIR34A host gene	
HGNC:31636	MIR34B	microRNA 34b	
HGNC:31637	MIR34C	microRNA 34c	
HGNC:31643	MIR92A1	microRNA 92a-1	
HGNC:31644	MIR92A2	microRNA 92a-2	
HGNC:32920	MIR92B	microRNA 92b	
HGNC:31645	MIR93	microRNA 93	
HGNC:31647	MIR95	microRNA 95	
HGNC:31648	MIR96	microRNA 96	
HGNC:31649	MIR98	microRNA 98	
HGNC:31650	MIR99A	microRNA 99a	
HGNC:1274	MIR99AHG	mir-99a-let-7c cluster host gene	
HGNC:31651	MIR99B	microRNA 99b	
HGNC:31487	MIR100	microRNA 100	
HGNC:39522	MIR100HG	mir-100-let-7a-2 cluster host gene	
HGNC:31488	MIR101-1	microRNA 101-1	
HGNC:31489	MIR101-2	microRNA 101-2	
HGNC:31490	MIR103A1	microRNA 103a-1	
HGNC:31491	MIR103A2	microRNA 103a-2	
HGNC:35384	MIR103B1	microRNA 103b-1	
HGNC:35385	MIR103B2	microRNA 103b-2	
HGNC:31492	MIR105-1	microRNA 105-1	
HGNC:31493	MIR105-2	microRNA 105-2	
HGNC:31494	MIR106A	microRNA 106a	
HGNC:31495	MIR106B	microRNA 106b	
HGNC:31496	MIR107	microRNA 107	
HGNC:31501	MIR122	microRNA 122	
HGNC:31502	MIR124-1	microRNA 124-1	
HGNC:31503	MIR124-2	microRNA 124-2	
HGNC:48723	MIR124-2HG	MIR124-2 host gene	
HGNC:31504	MIR124-3	microRNA 124-3	
HGNC:31505	MIR125A	microRNA 125a	
HGNC:31506	MIR125B1	microRNA 125b-1	
HGNC:31507	MIR125B2	microRNA 125b-2	
HGNC:31508	MIR126	microRNA 126	
HGNC:31509	MIR127	microRNA 127	
HGNC:31510	MIR128-1	microRNA 128-1	
HGNC:31511	MIR128-2	microRNA 128-2	
HGNC:31512	MIR129-1	microRNA 129-1	
HGNC:31513	MIR129-2	microRNA 129-2	
HGNC:31514	MIR130A	microRNA 130a	
HGNC:31515	MIR130B	microRNA 130b	
HGNC:31516	MIR132	microRNA 132	
HGNC:31517	MIR133A1	microRNA 133a-1	
HGNC:49594	MIR133A1HG	MIR133A1 host gene	
HGNC:31518	MIR133A2	microRNA 133a-2	
HGNC:31759	MIR133B	microRNA 133b	
HGNC:31519	MIR134	microRNA 134	
HGNC:31520	MIR135A1	microRNA 135a-1	
HGNC:31521	MIR135A2	microRNA 135a-2	
HGNC:31760	MIR135B	microRNA 135b	
HGNC:31522	MIR136	microRNA 136	
HGNC:31523	MIR137	microRNA 137	
HGNC:42871	MIR137HG	MIR137 host gene	
HGNC:31524	MIR138-1	microRNA 138-1	
HGNC:31525	MIR138-2	microRNA 138-2	
HGNC:31526	MIR139	microRNA 139	
HGNC:31527	MIR140	microRNA 140	
HGNC:31528	MIR141	microRNA 141	
HGNC:31529	MIR142	microRNA 142	
HGNC:31530	MIR143	microRNA 143	
HGNC:31531	MIR144	microRNA 144	
HGNC:31532	MIR145	microRNA 145	
HGNC:31533	MIR146A	microRNA 146a	
HGNC:32079	MIR146B	microRNA 146b	
HGNC:31534	MIR147A	microRNA 147a	
HGNC:33655	MIR147B	microRNA 147b	
HGNC:31535	MIR148A	microRNA 148a	
HGNC:31761	MIR148B	microRNA 148b	
HGNC:31536	MIR149	microRNA 149	
HGNC:31537	MIR150	microRNA 150	
HGNC:31762	MIR151A	microRNA 151a	
HGNC:41588	MIR151B	microRNA 151b	
HGNC:31538	MIR152	microRNA 152	
HGNC:31539	MIR153-1	microRNA 153-1	
HGNC:31540	MIR153-2	microRNA 153-2	
HGNC:31541	MIR154	microRNA 154	
HGNC:31542	MIR155	microRNA 155	
HGNC:35460	MIR155HG	MIR155 host gene	
HGNC:31590	MIR181A1	microRNA 181a-1	
HGNC:48659	MIR181A1HG	MIR181A1 host gene	
HGNC:31549	MIR181A2	microRNA 181a-2	
HGNC:37188	MIR181A2HG	MIR181A2 host gene	
HGNC:31550	MIR181B1	microRNA 181b-1	
HGNC:31551	MIR181B2	microRNA 181b-2	
HGNC:31552	MIR181C	microRNA 181c	
HGNC:32089	MIR181D	microRNA 181d	
HGNC:31553	MIR182	microRNA 182	
HGNC:31554	MIR183	microRNA 183	
HGNC:31555	MIR184	microRNA 184	
HGNC:31556	MIR185	microRNA 185	
HGNC:31557	MIR186	microRNA 186	
HGNC:31558	MIR187	microRNA 187	
HGNC:31559	MIR188	microRNA 188	
HGNC:31560	MIR190A	microRNA 190a	
HGNC:33656	MIR190B	microRNA 190b	
HGNC:31561	MIR191	microRNA 191	
HGNC:31562	MIR192	microRNA 192	
HGNC:31563	MIR193A	microRNA 193a	
HGNC:32087	MIR193B	microRNA 193b	
HGNC:51945	MIR193BHG	MIR193B host gene	
HGNC:31564	MIR194-1	microRNA 194-1	
HGNC:31565	MIR194-2	microRNA 194-2	
HGNC:51946	MIR194-2HG	MIR194-2 host gene	
HGNC:31566	MIR195	microRNA 195	
HGNC:31567	MIR196A1	microRNA 196a-1	
HGNC:31568	MIR196A2	microRNA 196a-2	
HGNC:31790	MIR196B	microRNA 196b	
HGNC:31569	MIR197	microRNA 197	
HGNC:31570	MIR198	microRNA 198	
HGNC:31571	MIR199A1	microRNA 199a-1	
HGNC:31572	MIR199A2	microRNA 199a-2	
HGNC:31573	MIR199B	microRNA 199b	
HGNC:31578	MIR200A	microRNA 200a	
HGNC:31579	MIR200B	microRNA 200b	
HGNC:31580	MIR200C	microRNA 200c	
HGNC:32080	MIR202	microRNA 202	
HGNC:49402	MIR202HG	MIR202 host gene	
HGNC:31581	MIR203A	microRNA 203a	
HGNC:41811	MIR203B	microRNA 203b	
HGNC:31582	MIR204	microRNA 204	
HGNC:31583	MIR205	microRNA 205	
HGNC:43562	MIR205HG	MIR205 host gene	
HGNC:31584	MIR206	microRNA 206	
HGNC:31585	MIR208A	microRNA 208a	
HGNC:33669	MIR208B	microRNA 208b	
HGNC:31587	MIR210	microRNA 210	
HGNC:39524	MIR210HG	MIR210 host gene	
HGNC:31588	MIR211	microRNA 211	
HGNC:31589	MIR212	microRNA 212	
HGNC:31591	MIR214	microRNA 214	
HGNC:31592	MIR215	microRNA 215	
HGNC:31593	MIR216A	microRNA 216a	
HGNC:33668	MIR216B	microRNA 216b	
HGNC:31594	MIR217	microRNA 217	
HGNC:50537	MIR217HG	MIR217 host gene	
HGNC:31595	MIR218-1	microRNA 218-1	
HGNC:31596	MIR218-2	microRNA 218-2	
HGNC:31597	MIR219A1	microRNA 219a-1	
HGNC:31598	MIR219A2	microRNA 219a-2	
HGNC:41823	MIR219B	microRNA 219b	
HGNC:31601	MIR221	microRNA 221	
HGNC:31602	MIR222	microRNA 222	
HGNC:49555	MIR222HG	MIR222 host gene	
HGNC:31603	MIR223	microRNA 223	
HGNC:31604	MIR224	microRNA 224	
HGNC:31617	MIR296	microRNA 296	
HGNC:33691	MIR297	microRNA 297	
HGNC:33634	MIR298	microRNA 298	
HGNC:31618	MIR299	microRNA 299	
HGNC:33636	MIR300	microRNA 300	
HGNC:31622	MIR301A	microRNA 301a	
HGNC:33667	MIR301B	microRNA 301b	
HGNC:31623	MIR302A	microRNA 302a	
HGNC:31763	MIR302B	microRNA 302b	
HGNC:31764	MIR302C	microRNA 302c	
HGNC:31765	MIR302D	microRNA 302d	
HGNC:35348	MIR302E	microRNA 302e	
HGNC:35349	MIR302F	microRNA 302f	
HGNC:31632	MIR320A	microRNA 320a	
HGNC:35247	MIR320B1	microRNA 320b-1	
HGNC:35256	MIR320B2	microRNA 320b-2	
HGNC:35248	MIR320C1	microRNA 320c-1	
HGNC:35387	MIR320C2	microRNA 320c-2	
HGNC:35386	MIR320D1	microRNA 320d-1	
HGNC:35388	MIR320D2	microRNA 320d-2	
HGNC:38230	MIR320E	microRNA 320e	
HGNC:31766	MIR323A	microRNA 323a	
HGNC:38349	MIR323B	microRNA 323b	
HGNC:31767	MIR324	microRNA 324	
HGNC:31768	MIR325	microRNA 325	
HGNC:50346	MIR325HG	MIR325 host gene	
HGNC:31769	MIR326	microRNA 326	
HGNC:31770	MIR328	microRNA 328	
HGNC:32050	MIR329-1	microRNA 329-1	
HGNC:32051	MIR329-2	microRNA 329-2	
HGNC:31771	MIR330	microRNA 330	
HGNC:31772	MIR331	microRNA 331	
HGNC:31773	MIR335	microRNA 335	
HGNC:31774	MIR337	microRNA 337	
HGNC:31775	MIR338	microRNA 338	
HGNC:31776	MIR339	microRNA 339	
HGNC:31777	MIR340	microRNA 340	
HGNC:31778	MIR342	microRNA 342	
HGNC:31779	MIR345	microRNA 345	
HGNC:31780	MIR346	microRNA 346	
HGNC:31867	MIR361	microRNA 361	
HGNC:32022	MIR362	microRNA 362	
HGNC:32023	MIR363	microRNA 363	
HGNC:33692	MIR365A	microRNA 365a	
HGNC:33693	MIR365B	microRNA 365b	
HGNC:31781	MIR367	microRNA 367	
HGNC:31783	MIR369	microRNA 369	
HGNC:31784	MIR370	microRNA 370	
HGNC:31785	MIR371A	microRNA 371a	
HGNC:41863	MIR371B	microRNA 371b	
HGNC:31786	MIR372	microRNA 372	
HGNC:31787	MIR373	microRNA 373	
HGNC:31788	MIR374A	microRNA 374a	
HGNC:33665	MIR374B	microRNA 374b	
HGNC:38907	MIR374C	microRNA 374c	
HGNC:31868	MIR375	microRNA 375	
HGNC:31869	MIR376A1	microRNA 376a-1	
HGNC:32532	MIR376A2	microRNA 376a-2	
HGNC:32066	MIR376B	microRNA 376b	
HGNC:31782	MIR376C	microRNA 376c	
HGNC:31870	MIR377	microRNA 377	
HGNC:31871	MIR378A	microRNA 378a	
HGNC:38283	MIR378B	microRNA 378b	
HGNC:38374	MIR378C	microRNA 378c	
HGNC:41550	MIR378D1	microRNA 378d-1	
HGNC:41797	MIR378D2	microRNA 378d-2	
HGNC:41671	MIR378E	microRNA 378e	
HGNC:41686	MIR378F	microRNA 378f	
HGNC:41785	MIR378G	microRNA 378g	
HGNC:41744	MIR378H	microRNA 378h	
HGNC:41620	MIR378I	microRNA 378i	
HGNC:49979	MIR378J	microRNA 378j	
HGNC:31872	MIR379	microRNA 379	
HGNC:31873	MIR380	microRNA 380	
HGNC:31874	MIR381	microRNA 381	
HGNC:20136	MIR381HG	MIR381 host gene	
HGNC:31875	MIR382	microRNA 382	
HGNC:31876	MIR383	microRNA 383	
HGNC:31878	MIR384	microRNA 384	
HGNC:32055	MIR409	microRNA 409	
HGNC:32065	MIR410	microRNA 410	
HGNC:32792	MIR411	microRNA 411	
HGNC:32064	MIR412	microRNA 412	
HGNC:32793	MIR421	microRNA 421	
HGNC:31879	MIR422A	microRNA 422a	
HGNC:31880	MIR423	microRNA 423	
HGNC:31881	MIR424	microRNA 424	
HGNC:31882	MIR425	microRNA 425	
HGNC:13784	MIR429	microRNA 429	
HGNC:32027	MIR431	microRNA 431	
HGNC:32083	MIR432	microRNA 432	
HGNC:32026	MIR433	microRNA 433	
HGNC:26069	MIR448	microRNA 448	
HGNC:27645	MIR449A	microRNA 449a	
HGNC:32794	MIR449B	microRNA 449b	
HGNC:37302	MIR449C	microRNA 449c	
HGNC:28008	MIR450A1	microRNA 450a-1	
HGNC:32137	MIR450A2	microRNA 450a-2	
HGNC:33642	MIR450B	microRNA 450b	
HGNC:32053	MIR451A	microRNA 451a	
HGNC:41655	MIR451B	microRNA 451b	
HGNC:32054	MIR452	microRNA 452	
HGNC:33137	MIR454	microRNA 454	
HGNC:32344	MIR455	microRNA 455	
HGNC:38359	MIR466	microRNA 466	
HGNC:32340	MIR483	microRNA 483	
HGNC:32341	MIR484	microRNA 484	
HGNC:32067	MIR485	microRNA 485	
HGNC:32342	MIR486-1	microRNA 486-1	
HGNC:50213	MIR486-2	microRNA 486-2	
HGNC:32343	MIR487A	microRNA 487a	
HGNC:32533	MIR487B	microRNA 487b	
HGNC:32073	MIR488	microRNA 488	
HGNC:32074	MIR489	microRNA 489	
HGNC:32075	MIR490	microRNA 490	
HGNC:32076	MIR491	microRNA 491	
HGNC:32081	MIR492	microRNA 492	
HGNC:32082	MIR493	microRNA 493	
HGNC:32084	MIR494	microRNA 494	
HGNC:32085	MIR495	microRNA 495	
HGNC:32086	MIR496	microRNA 496	
HGNC:32088	MIR497	microRNA 497	
HGNC:39523	MIR497HG	mir-497-195 cluster host gene	
HGNC:32092	MIR498	microRNA 498	
HGNC:32133	MIR499A	microRNA 499a	
HGNC:41640	MIR499B	microRNA 499b	
HGNC:32134	MIR500A	microRNA 500a	
HGNC:38223	MIR500B	microRNA 500b	
HGNC:32135	MIR501	microRNA 501	
HGNC:32136	MIR502	microRNA 502	
HGNC:32138	MIR503	microRNA 503	
HGNC:28258	MIR503HG	MIR503 host gene	
HGNC:32139	MIR504	microRNA 504	
HGNC:32140	MIR505	microRNA 505	
HGNC:32143	MIR506	microRNA 506	
HGNC:32144	MIR507	microRNA 507	
HGNC:32145	MIR508	microRNA 508	
HGNC:32146	MIR509-1	microRNA 509-1	
HGNC:33641	MIR509-2	microRNA 509-2	
HGNC:33675	MIR509-3	microRNA 509-3	
HGNC:32147	MIR510	microRNA 510	
HGNC:32077	MIR511	microRNA 511	
HGNC:32090	MIR512-1	microRNA 512-1	
HGNC:32091	MIR512-2	microRNA 512-2	
HGNC:32141	MIR513A1	microRNA 513a-1	
HGNC:32142	MIR513A2	microRNA 513a-2	
HGNC:33935	MIR513B	microRNA 513b	
HGNC:33934	MIR513C	microRNA 513c	
HGNC:32148	MIR514A1	microRNA 514a-1	
HGNC:32149	MIR514A2	microRNA 514a-2	
HGNC:32150	MIR514A3	microRNA 514a-3	
HGNC:38292	MIR514B	microRNA 514b	
HGNC:32094	MIR515-1	microRNA 515-1	
HGNC:32097	MIR515-2	microRNA 515-2	
HGNC:32130	MIR516A1	microRNA 516a-1	
HGNC:32131	MIR516A2	microRNA 516a-2	
HGNC:32122	MIR516B1	microRNA 516b-1	
HGNC:32117	MIR516B2	microRNA 516b-2	
HGNC:32111	MIR517A	microRNA 517a	
HGNC:32115	MIR517B	microRNA 517b	
HGNC:32124	MIR517C	microRNA 517c	
HGNC:32120	MIR518A1	microRNA 518a-1	
HGNC:32123	MIR518A2	microRNA 518a-2	
HGNC:32106	MIR518B	microRNA 518b	
HGNC:32109	MIR518C	microRNA 518c	
HGNC:32121	MIR518D	microRNA 518d	
HGNC:32119	MIR518E	microRNA 518e	
HGNC:32104	MIR518F	microRNA 518f	
HGNC:32128	MIR519A1	microRNA 519a-1	
HGNC:32132	MIR519A2	microRNA 519a-2	
HGNC:32101	MIR519B	microRNA 519b	
HGNC:32098	MIR519C	microRNA 519c	
HGNC:32112	MIR519D	microRNA 519d	
HGNC:32095	MIR519E	microRNA 519e	
HGNC:32099	MIR520A	microRNA 520a	
HGNC:32105	MIR520B	microRNA 520b	
HGNC:32108	MIR520C	microRNA 520c	
HGNC:32114	MIR520D	microRNA 520d	
HGNC:32093	MIR520E	microRNA 520e	
HGNC:32096	MIR520F	microRNA 520f	
HGNC:32116	MIR520G	microRNA 520g	
HGNC:32125	MIR520H	microRNA 520h	
HGNC:32126	MIR521-1	microRNA 521-1	
HGNC:32113	MIR521-2	microRNA 521-2	
HGNC:32127	MIR522	microRNA 522	
HGNC:32103	MIR523	microRNA 523	
HGNC:32110	MIR524	microRNA 524	
HGNC:32102	MIR525	microRNA 525	
HGNC:32107	MIR526A1	microRNA 526a-1	
HGNC:32118	MIR526A2	microRNA 526a-2	
HGNC:32100	MIR526B	microRNA 526b	
HGNC:32129	MIR527	microRNA 527	
HGNC:32795	MIR532	microRNA 532	
HGNC:32529	MIR539	microRNA 539	
HGNC:33650	MIR541	microRNA 541	
HGNC:32534	MIR542	microRNA 542	
HGNC:33664	MIR543	microRNA 543	
HGNC:32530	MIR544A	microRNA 544a	
HGNC:38361	MIR544B	microRNA 544b	
HGNC:32531	MIR545	microRNA 545	
HGNC:32796	MIR548A1	microRNA 548a-1	
HGNC:32797	MIR548A2	microRNA 548a-2	
HGNC:32798	MIR548A3	microRNA 548a-3	
HGNC:38944	MIR548AA1	microRNA 548aa-1	
HGNC:38921	MIR548AA2	microRNA 548aa-2	
HGNC:41825	MIR548AB	microRNA 548ab	
HGNC:41626	MIR548AC	microRNA 548ac	
HGNC:41683	MIR548AD	microRNA 548ad	
HGNC:41742	MIR548AE1	microRNA 548ae-1	
HGNC:41831	MIR548AE2	microRNA 548ae-2	
HGNC:41625	MIR548AG1	microRNA 548ag-1	
HGNC:41745	MIR548AG2	microRNA 548ag-2	
HGNC:41605	MIR548AH	microRNA 548ah	
HGNC:41854	MIR548AI	microRNA 548ai	
HGNC:41884	MIR548AJ1	microRNA 548aj-1	
HGNC:41600	MIR548AJ2	microRNA 548aj-2	
HGNC:41893	MIR548AK	microRNA 548ak	
HGNC:41736	MIR548AL	microRNA 548al	
HGNC:41637	MIR548AM	microRNA 548am	
HGNC:41681	MIR548AN	microRNA 548an	
HGNC:43539	MIR548AO	microRNA 548ao	
HGNC:43465	MIR548AP	microRNA 548ap	
